ReadName	ReadLength	EReversevalue	AlignmentLength	Begin	End	Strand	Identity	ReferenceSequenceName	Begin	End
GZ261FQ01BX8F6	244nt	3.7eNegative11	51	64	14	Negative	88.24	contig_Exi	2551939	2551989
GZ261FQ01C3DDH	327nt	1.9eNegative10	56	149	204	Positive	85.71	contig_Exi	254478	254533
GZ261FQ01CLRJH	246nt	3.1eNegative19	137	244	108	Negative	78.10	contig_Exi	253878	254014
GZ261FQ01D569J	229nt	8.3eNegative16	152	156	5	Negative	75.66	contig_Exi	980950	981101
GZ261FQ01DLLOG	227nt	3.4eNegative11	81	98	18	Negative	80.25	contig_Exi	2994712	2994792
GZ261FQ01CACNE	213nt	6.5eNegative09	62	22	83	Positive	82.26	contig_Exi	510663	510724
GZ261FQ01CAH80	235nt	1.0eNegative07	93	76	168	Positive	77.66	contig_Exi	2542214	2542307
GZ261FQ01B7B67	237nt	1.4eNegative10	86	181	96	Negative	79.07	contig_Exi	1009262	1009347
GZ261FQ01BHVVE	201nt	4.5eNegative21	167	189	23	Negative	78.11	contig_Exi	2291	2459
GZ261FQ01CELJX	307nt	2.8eNegative05	53	147	95	Negative	81.13	contig_Exi	2954239	2954291
GZ261FQ01C6TZZ	317nt	2.0eNegative21	181	34	214	Positive	78.14	contig_Exi	2178258	2178439
GZ261FQ01BZ3IA	284nt	3.0eNegative12	83	195	277	Positive	80.72	contig_Exi	1748410	1748492
GZ261FQ01BJ9H5	191nt	4.5eNegative06	42	101	142	Positive	85.71	contig_Exi	1778468	1778509
GZ261FQ01C722U	109nt	4.0eNegative38	106	109	4	Negative	91.51	contig_Exi	4313	4418
GZ261FQ01CFP6X	229nt	1.7eNegative13	83	15	97	Positive	82.35	contig_Exi	2863	2947
GZ261FQ01B6SS6	277nt	9.6eNegative05	76	188	263	Positive	76.32	contig_Exi	545173	545248
GZ261FQ01EFALQ	126nt	2.7eNegative21	92	34	125	Positive	87.23	contig_Exi	1947	2040
GZ261FQ01DYPRK	139nt	3.3eNegative17	86	89	4	Negative	84.88	contig_Exi	2432	2516
GZ261FQ01B4P3Z	244nt	3.0eNegative19	101	61	161	Positive	82.18	contig_Exi	2586415	2586515
GZ261FQ01B4P3Z	244nt	7.6eNegative09	65	130	194	Positive	81.54	contig_Exi	2692720	2692784
GZ261FQ01B4P3Z	244nt	3.2eNegative04	60	196	137	Negative	78.33	contig_Exi	1224139	1224198
GZ261FQ01BVG0I	237nt	5.7eNegative06	51	82	132	Positive	82.35	contig_Exi	1758462	1758512
GZ261FQ01BCQXZ	198nt	3.8eNegative14	71	123	53	Negative	84.51	contig_Exi	251988	252058
GZ261FQ01COMQA	275nt	6.0eNegative10	79	161	83	Negative	79.75	contig_Exi	998535	998613
GZ261FQ01C1LLB	207nt	1.5eNegative13	52	82	133	Positive	90.38	contig_Exi	1574518	1574569
GZ261FQ01DAW7J	315nt	2.1eNegative17	98	292	195	Negative	81.63	contig_Exi	2085292	2085389
GZ261FQ01BKGT9	421nt	9.9eNegative21	107	145	39	Negative	83.33	contig_Exi	3530	3637
GZ261FQ01CL8BG	177nt	1.8eNegative12	50	77	126	Positive	90.00	contig_Exi	2694298	2694347
GZ261FQ01AX4UQ	149nt	5.5eNegative27	117	1	117	Positive	84.75	contig_Exi	4055	4172
GZ261FQ01BTR9P	280nt	2.3eNegative09	48	115	162	Positive	87.50	contig_Exi	2035396	2035443
GZ261FQ01A59UZ	255nt	2.3eNegative05	47	139	185	Positive	82.98	contig_Exi	343005	343051
GZ261FQ01CEMDV	169nt	8.5eNegative15	126	44	169	Positive	76.98	contig_Exi	69531	69656
GZ261FQ01CD9KE	184nt	2.7eNegative11	57	46	102	Positive	87.93	contig_Exi	618020	618077
GZ261FQ01CD9KE	184nt	2.7eNegative11	57	102	46	Negative	87.93	contig_Exi	1592157	1592214
GZ261FQ01AQSN3	261nt	4.2eNegative22	100	233	134	Negative	84.00	contig_Exi	1458794	1458893
GZ261FQ01DDCNR	177nt	2.2eNegative04	42	158	117	Negative	83.33	contig_Exi	1481918	1481959
GZ261FQ01DDCNR	177nt	2.2eNegative04	42	158	117	Negative	83.33	contig_Exi	1591910	1591951
GZ261FQ01BXJ6Z	288nt	2.4eNegative09	78	77	154	Positive	79.49	contig_Exi	1574521	1574598
GZ261FQ01CARDR	275nt	2.9eNegative12	113	124	12	Negative	76.99	contig_Exi	1971163	1971275
GZ261FQ01DNT2S	201nt	1.3eNegative06	52	78	129	Positive	82.69	contig_Exi	1224711	1224762
GZ261FQ01BVBNM	299nt	6.6eNegative10	115	41	155	Positive	75.65	contig_Exi	1777120	1777234
GZ261FQ01BVBNM	299nt	6.6eNegative10	97	155	59	Negative	77.32	contig_Exi	2319166	2319262
GZ261FQ01A9OD9	293nt	8.3eNegative13	139	141	279	Positive	76.26	contig_Exi	3045	3182
GZ261FQ01B2WIC	187nt	2.8eNegative37	141	46	186	Positive	85.11	contig_Exi	1371	1511
GZ261FQ01D4NUC	112nt	5.9eNegative11	87	112	26	Negative	80.46	contig_Exi	2411805	2411890
GZ261FQ01BX6KB	267nt	1.8eNegative17	59	73	131	Positive	91.53	contig_Exi	63	121
GZ261FQ01BX6KB	267nt	2.6eNegative16	57	73	129	Positive	91.23	contig_Exi	1481843	1481899
GZ261FQ01BX6KB	267nt	9.7eNegative16	56	73	128	Positive	91.07	contig_Exi	3019438	3019493
GZ261FQ01BX6KB	267nt	6.8eNegative17	58	130	73	Negative	91.38	contig_Exi	139739	139796
GZ261FQ01BX6KB	267nt	2.6eNegative16	57	129	73	Negative	91.23	contig_Exi	2551939	2551995
GZ261FQ01BX6KB	267nt	9.7eNegative16	56	128	73	Negative	91.07	contig_Exi	2662559	2662614
GZ261FQ01AVUE2	281nt	4.3eNegative11	69	218	150	Negative	82.61	contig_Exi	2026431	2026499
GZ261FQ01BUB8I	251nt	4.2eNegative07	65	197	133	Negative	80.00	contig_Exi	1768471	1768535
GZ261FQ01DQTRE	191nt	3.7eNegative14	71	5	75	Positive	84.51	contig_Exi	1456430	1456500
GZ261FQ01C2AQE	250nt	1.6eNegative06	43	207	249	Positive	86.05	contig_Exi	2765530	2765572
GZ261FQ01DSFPO	311nt	9.8eNegative09	41	254	214	Negative	90.24	contig_Exi	1355544	1355584
GZ261FQ01CKUU3	102nt	9.9eNegative39	102	102	1	Negative	94.12	contig_Exi	4227	4327
GZ261FQ01B9RYR	234nt	2.1eNegative05	44	145	102	Negative	84.09	contig_Exi	2038399	2038442
GZ261FQ01BZ0SD	326nt	3.9eNegative08	46	135	180	Positive	86.96	contig_Exi	1776	1821
GZ261FQ01B8M1O	345nt	9.9eNegative13	57	329	273	Negative	87.72	contig_Exi	1704349	1704405
GZ261FQ01B5ETB	319nt	1.3eNegative11	40	296	257	Negative	95.00	contig_Exi	2032473	2032512
GZ261FQ01D0UJW	318nt	7.7eNegative06	48	301	254	Negative	83.33	contig_Exi	1290961	1291008
GZ261FQ01BU526	245nt	4.1eNegative07	65	37	101	Positive	81.82	contig_Exi	1768963	1769028
GZ261FQ01DU7VG	243nt	2.6eNegative12	59	157	99	Negative	86.44	contig_Exi	1213531	1213589
GZ261FQ01DNX0J	242nt	3.1eNegative04	45	148	192	Positive	82.22	contig_Exi	1407639	1407683
GZ261FQ01CM5QB	246nt	4.1eNegative07	92	111	20	Negative	78.72	contig_Exi	142586	142679
GZ261FQ01CNEAX	297nt	4.1eNegative15	116	70	185	Positive	79.31	contig_Exi	1453581	1453695
GZ261FQ01D393G	302nt	5.1eNegative07	56	210	265	Positive	82.14	contig_Exi	318447	318502
GZ261FQ01CWO43	219nt	2.3eNegative12	99	26	124	Positive	79.80	contig_Exi	2896040	2896137
GZ261FQ01BBDWU	200nt	1.2eNegative21	120	72	191	Positive	80.83	contig_Exi	2841139	2841258
GZ261FQ01BOFLI	269nt	1.6eNegative10	47	143	189	Positive	89.36	contig_Exi	1264032	1264078
GZ261FQ01CG70O	295nt	1.3eNegative22	134	294	161	Negative	79.85	contig_Exi	255213	255346
GZ261FQ01CZMBH	232nt	5.3eNegative21	137	211	75	Negative	78.83	contig_Exi	1704307	1704443
GZ261FQ01BUKV4	228nt	7.4eNegative20	138	228	91	Negative	78.26	contig_Exi	70681	70818
GZ261FQ01DSVEB	213nt	3.7eNegative18	120	147	28	Negative	79.17	contig_Exi	545102	545221
GZ261FQ01BL23Y	130nt	4.0eNegative20	87	117	31	Negative	85.06	contig_Exi	255885	255971
GZ261FQ01D0TZZ	256nt	1.3eNegative29	224	234	11	Negative	76.34	contig_Exi	510600	510823
GZ261FQ01BV93L	116nt	1.5eNegative15	79	100	22	Negative	83.54	contig_Exi	935418	935496
GZ261FQ01BBIT6	223nt	1.8eNegative50	182	183	2	Negative	85.16	contig_Exi	3662	3843
GZ261FQ01BF43I	241nt	4.0eNegative07	74	149	222	Positive	80.00	contig_Exi	146703	146777
GZ261FQ01BF43I	241nt	4.0eNegative07	74	149	222	Positive	80.00	contig_Exi	1592496	1592570
GZ261FQ01DEM1V	264nt	2.5eNegative16	228	4	231	Positive	72.81	contig_Exi	501484	501711
GZ261FQ01BKDSN	252nt	7.1eNegative13	75	6	80	Positive	82.67	contig_Exi	2993953	2994027
GZ261FQ01DCRBJ	257nt	1.0eNegative11	76	143	68	Negative	81.58	contig_Exi	1456224	1456299
GZ261FQ01C8PHG	241nt	1.1eNegative18	58	29	86	Positive	93.10	contig_Exi	139739	139796
GZ261FQ01C8PHG	241nt	4.3eNegative18	57	30	86	Positive	92.98	contig_Exi	2551939	2551995
GZ261FQ01C8PHG	241nt	1.6eNegative17	56	31	86	Positive	92.86	contig_Exi	2662559	2662614
GZ261FQ01C8PHG	241nt	3.0eNegative19	59	86	28	Negative	93.22	contig_Exi	63	121
GZ261FQ01C8PHG	241nt	4.3eNegative18	57	86	30	Negative	92.98	contig_Exi	1481843	1481899
GZ261FQ01C8PHG	241nt	1.6eNegative17	56	86	31	Negative	92.86	contig_Exi	3019438	3019493
GZ261FQ01C98OT	293nt	7.1eNegative06	42	170	211	Positive	85.71	contig_Exi	2806851	2806892
GZ261FQ01BWQAE	248nt	2.9eNegative08	46	114	69	Negative	86.96	contig_Exi	1438727	1438772
GZ261FQ01B3VQU	273nt	1.4eNegative14	102	155	256	Positive	79.41	contig_Exi	3105	3206
GZ261FQ01CQ8UE	270nt	4.1eNegative11	51	58	8	Negative	88.24	contig_Exi	1591901	1591951
GZ261FQ01BE6JF	210nt	9.7eNegative19	121	21	141	Positive	79.34	contig_Exi	253895	254015
GZ261FQ01C5QVA	134nt	5.1eNegative38	133	1	133	Positive	88.97	contig_Exi	4108	4243
GZ261FQ01CFK8G	228nt	7.8eNegative05	55	69	15	Negative	80.00	contig_Exi	2135762	2135816
GZ261FQ01D3NT4	226nt	8.1eNegative16	141	8	148	Positive	77.30	contig_Exi	1454616	1454755
GZ261FQ01B7TZJ	322nt	1.3eNegative11	67	306	240	Negative	83.58	contig_Exi	570666	570732
GZ261FQ01BZBLD	300nt	7.7eNegative17	76	191	116	Negative	85.53	contig_Exi	39551	39626
GZ261FQ01BQU0M	310nt	4.1eNegative04	42	223	264	Positive	83.33	contig_Exi	477088	477129
GZ261FQ01EIQWE	259nt	8.1eNegative09	44	248	205	Negative	88.64	contig_Exi	2088136	2088179
GZ261FQ01BVEZF	258nt	5.1eNegative14	56	163	218	Positive	89.29	contig_Exi	618020	618075
GZ261FQ01BVEZF	258nt	5.1eNegative14	56	218	163	Negative	89.29	contig_Exi	1592159	1592214
GZ261FQ01B0S8Q	320nt	1.4eNegative07	78	91	168	Positive	78.21	contig_Exi	1466019	1466096
GZ261FQ01DC6FH	267nt	1.5eNegative10	47	218	264	Positive	89.36	contig_Exi	253791	253837
GZ261FQ01CBWY5	283nt	3.5eNegative19	131	141	271	Positive	78.63	contig_Exi	1704103	1704233
GZ261FQ01DJMXU	302nt	1.4eNegative07	45	145	101	Negative	86.67	contig_Exi	360675	360719
GZ261FQ01ECLOD	197nt	7.8eNegative12	58	49	106	Positive	86.21	contig_Exi	618020	618077
GZ261FQ01DX1Q9	191nt	1.8eNegative16	48	134	181	Positive	95.83	contig_Exi	4014	4061
GZ261FQ01BJED2	104nt	1.4eNegative11	69	85	17	Negative	82.61	contig_Exi	2691673	2691741
GZ261FQ01B89IA	215nt	1.0eNegative18	163	15	177	Positive	76.07	contig_Exi	1924093	1924255
GZ261FQ01B3W8F	256nt	4.6eNegative18	66	177	242	Positive	89.39	contig_Exi	253793	253858
GZ261FQ01CX3JA	291nt	4.3eNegative26	176	266	91	Negative	77.84	contig_Exi	253866	254041
GZ261FQ01CZUMP	252nt	3.8eNegative11	78	169	92	Negative	80.77	contig_Exi	1592060	1592137
GZ261FQ01C1ZUY	205nt	8.1eNegative12	46	49	94	Positive	91.30	contig_Exi	596409	596454
GZ261FQ01C6YWL	288nt	1.6eNegative51	277	9	285	Positive	79.50	contig_Exi	4048	4325
GZ261FQ01DCB57	223nt	5.3eNegative06	60	159	218	Positive	80.00	contig_Exi	1812691	1812750
GZ261FQ01BY6HD	207nt	2.4eNegative08	133	13	145	Positive	73.68	contig_Exi	1971323	1971455
GZ261FQ01CGYJR	325nt	6.5eNegative14	71	207	137	Negative	84.51	contig_Exi	533125	533195
GZ261FQ01AUW3C	239nt	4.2eNegative18	57	62	118	Positive	92.98	contig_Exi	1592159	1592215
GZ261FQ01AUW3C	239nt	8.2eNegative05	49	69	117	Positive	81.63	contig_Exi	1481911	1481959
GZ261FQ01AUW3C	239nt	4.2eNegative18	57	118	62	Negative	92.98	contig_Exi	618019	618075
GZ261FQ01EECE2	245nt	5.6eNegative21	182	64	245	Positive	76.50	contig_Exi	2988	3170
GZ261FQ01DER9V	315nt	2.6eNegative09	87	219	305	Positive	79.55	contig_Exi	1466019	1466106
GZ261FQ01A4004	270nt	5.9eNegative10	43	123	81	Negative	90.70	contig_Exi	2007560	2007602
GZ261FQ01BOIH0	232nt	2.4eNegative12	53	71	123	Positive	88.68	contig_Exi	1812589	1812641
GZ261FQ01CDOA1	296nt	2.2eNegative13	43	121	79	Negative	95.35	contig_Exi	2698806	2698848
GZ261FQ01B7R8G	246nt	2.9eNegative08	43	156	198	Positive	88.37	contig_Exi	1717917	1717959
GZ261FQ01B5ESY	179nt	2.9eNegative07	41	159	119	Negative	87.80	contig_Exi	1956733	1956773
GZ261FQ01DB4U8	332nt	1.1eNegative19	144	66	209	Positive	77.78	contig_Exi	142520	142663
GZ261FQ01EUEJG	148nt	4.8eNegative05	55	72	18	Negative	84.21	contig_Exi	3007735	3007791
GZ261FQ01CUDYH	271nt	4.4eNegative22	205	15	219	Positive	75.73	contig_Exi	69680	69885
GZ261FQ01CLGLO	276nt	3.3eNegative08	76	32	107	Positive	78.95	contig_Exi	2303831	2303906
GZ261FQ01CGYQ6	252nt	5.3eNegative25	123	4	126	Positive	82.11	contig_Exi	1459344	1459466
GZ261FQ01DPRW1	278nt	5.5eNegative14	134	59	192	Positive	76.12	contig_Exi	256242	256375
GZ261FQ01CL83E	322nt	4.5eNegative15	127	1	127	Positive	77.17	contig_Exi	4436	4562
GZ261FQ01A2QYP	312nt	5.6eNegative85	269	44	312	Positive	86.62	contig_Exi	4119	4387
GZ261FQ01D44P7	287nt	4.9eNegative07	41	72	112	Positive	87.80	contig_Exi	641145	641185
GZ261FQ01DBJJ0	246nt	4.1eNegative07	50	113	64	Negative	84.00	contig_Exi	1768502	1768551
GZ261FQ01C66J4	152nt	1.7eNegative08	56	84	139	Positive	85.71	contig_Exi	3019439	3019493
GZ261FQ01C66J4	152nt	1.7eNegative08	56	139	84	Negative	85.71	contig_Exi	2662559	2662613
GZ261FQ01C66J4	152nt	4.5eNegative09	57	140	84	Negative	85.96	contig_Exi	2551939	2551994
GZ261FQ01B12Q4	273nt	1.6eNegative10	215	1	215	Positive	71.63	contig_Exi	238083	238297
GZ261FQ01C4S4V	337nt	5.7eNegative07	77	94	170	Positive	77.92	contig_Exi	1466020	1466096
GZ261FQ01EG0CZ	145nt	4.7eNegative05	67	59	125	Positive	77.61	contig_Exi	2294675	2294741
GZ261FQ01CQS33	270nt	2.9eNegative12	176	230	55	Negative	73.30	contig_Exi	2993861	2994036
GZ261FQ01DZLRP	254nt	2.3eNegative31	215	219	5	Negative	77.21	contig_Exi	2841046	2841260
GZ261FQ01A4MT2	152nt	3.0eNegative25	78	152	75	Negative	91.03	contig_Exi	995	1072
GZ261FQ01CUH8U	105nt	1.0eNegative12	83	101	19	Negative	80.72	contig_Exi	2739128	2739210
GZ261FQ01BLL4O	277nt	4.7eNegative07	59	163	105	Negative	81.36	contig_Exi	317107	317165
GZ261FQ01BU0Q4	325nt	9.2eNegative13	81	171	91	Negative	81.48	contig_Exi	256131	256211
GZ261FQ01DMKMU	270nt	2.6eNegative16	123	255	133	Negative	78.05	contig_Exi	545205	545327
GZ261FQ01CNHKT	312nt	2.7eNegative20	113	113	1	Negative	81.74	contig_Exi	251888	252002
GZ261FQ01EDZOD	202nt	1.3eNegative06	52	65	14	Negative	82.69	contig_Exi	45523	45574
GZ261FQ01B9XWO	313nt	1.2eNegative15	83	188	106	Negative	83.13	contig_Exi	12978	13060
GZ261FQ01B9XWO	313nt	2.6eNegative09	69	71	3	Negative	81.16	contig_Exi	2294668	2294736
GZ261FQ01BLOMX	300nt	9.4eNegative09	50	93	44	Negative	86.00	contig_Exi	799998	800047
GZ261FQ01D1JHZ	217nt	2.3eNegative12	56	100	155	Positive	87.50	contig_Exi	1009707	1009762
GZ261FQ01DBRXS	232nt	1.2eNegative14	129	79	207	Positive	76.74	contig_Exi	316951	317079
GZ261FQ01BCTWS	234nt	1.5eNegative32	145	60	204	Positive	82.76	contig_Exi	533099	533243
GZ261FQ01BW1SM	245nt	6.7eNegative54	213	213	1	Negative	83.72	contig_Exi	743	957
GZ261FQ01ATJOC	287nt	9.9eNegative05	70	72	141	Positive	77.14	contig_Exi	2303831	2303900
GZ261FQ01D6U81	105nt	2.0eNegative10	64	85	22	Negative	82.81	contig_Exi	317108	317171
GZ261FQ01C2LBU	218nt	6.8eNegative35	152	67	218	Positive	82.89	contig_Exi	716	867
GZ261FQ01DDZAI	236nt	3.8eNegative22	73	97	169	Positive	90.41	contig_Exi	1592143	1592215
GZ261FQ01DDZAI	236nt	5.4eNegative21	71	169	99	Negative	90.14	contig_Exi	618019	618089
GZ261FQ01BXXV8	228nt	2.2eNegative16	60	141	82	Negative	90.00	contig_Exi	2163089	2163148
GZ261FQ01DFG1G	234nt	6.5eNegative13	185	42	226	Positive	74.59	contig_Exi	501460	501642
GZ261FQ01DSHBP	246nt	3.4eNegative15	172	1	172	Positive	74.42	contig_Exi	251996	252167
GZ261FQ01ECMNJ	222nt	1.1eNegative70	200	23	222	Positive	90.55	contig_Exi	4106	4305
GZ261FQ01DVCUR	283nt	2.6eNegative05	56	206	261	Positive	80.36	contig_Exi	2163093	2163148
GZ261FQ01CO0HL	278nt	8.7eNegative09	62	206	267	Positive	82.26	contig_Exi	2044568	2044629
GZ261FQ01C1IZ7	231nt	1.9eNegative76	225	7	231	Positive	88.89	contig_Exi	4155	4378
GZ261FQ01DIBUE	139nt	1.5eNegative23	63	12	74	Positive	95.24	contig_Exi	841	903
GZ261FQ01EM18I	390nt	5.0eNegative19	269	10	278	Positive	72.96	contig_Exi	1970374	1970643
GZ261FQ01CBX4W	201nt	1.1eNegative10	47	5	51	Positive	89.36	contig_Exi	1009716	1009762
GZ261FQ01CNNZQ	267nt	9.7eNegative16	113	150	262	Positive	78.76	contig_Exi	1813581	1813693
GZ261FQ01CNNZQ	267nt	2.2eNegative09	78	177	254	Positive	79.49	contig_Exi	2739130	2739207
GZ261FQ01EGY5H	306nt	1.1eNegative15	119	146	28	Negative	78.15	contig_Exi	960888	961006
GZ261FQ01DYNVO	259nt	6.6eNegative17	133	73	205	Positive	77.44	contig_Exi	201440	201572
GZ261FQ01ARIN1	248nt	2.6eNegative12	65	248	184	Negative	84.62	contig_Exi	2994722	2994786
GZ261FQ01BV39L	242nt	5.2eNegative10	58	116	173	Positive	84.48	contig_Exi	1263299	1263356
GZ261FQ01DCOMS	213nt	6.5eNegative09	71	109	39	Negative	80.28	contig_Exi	502240	502310
GZ261FQ01DVA7N	329nt	1.0eNegative08	53	303	251	Negative	84.91	contig_Exi	432097	432149
GZ261FQ01BFHB6	267nt	4.5eNegative07	101	262	162	Negative	75.25	contig_Exi	238270	238370
GZ261FQ01C0LFV	163nt	7.1eNegative34	130	163	34	Negative	87.02	contig_Exi	1367	1496
GZ261FQ01DZ1ZF	263nt	1.2eNegative07	66	158	93	Negative	80.30	contig_Exi	1547124	1547189
GZ261FQ01AU39P	202nt	1.6eNegative09	42	95	136	Positive	90.48	contig_Exi	1388773	1388814
GZ261FQ01A7JB5	368nt	1.1eNegative12	75	209	283	Positive	82.67	contig_Exi	618512	618586
GZ261FQ01BLL00	379nt	1.7eNegative07	66	215	150	Negative	80.30	contig_Exi	52450	52515
GZ261FQ01A7AFY	244nt	4.1eNegative07	44	1	44	Positive	86.36	contig_Exi	1961604	1961647
GZ261FQ01C34YT	178nt	2.0eNegative08	64	152	89	Negative	81.25	contig_Exi	1917675	1917738
GZ261FQ01DJ7TG	182nt	7.9eNegative08	48	67	114	Positive	85.42	contig_Exi	550411	550458
GZ261FQ01CA281	360nt	2.3eNegative06	88	86	173	Positive	76.14	contig_Exi	1466019	1466106
GZ261FQ01BUK0K	297nt	6.5eNegative77	264	10	273	Positive	85.66	contig_Exi	1233	1497
GZ261FQ01C2R4V	285nt	8.9eNegative09	65	141	77	Negative	81.54	contig_Exi	2118821	2118885
GZ261FQ01DBWPT	281nt	3.0eNegative12	173	211	39	Negative	73.41	contig_Exi	1963315	1963487
GZ261FQ01D9O10	271nt	1.5eNegative51	271	271	1	Negative	79.34	contig_Exi	1458579	1458849
